REGION	TIK	UIK	TIK.NAME	UIK.NAME	VOTERS	BALLOTS.ISSUED	BALLOTS.CAST	BALLOTS.INVALID	YES	YES.pct	NO	NO.pct
Город Санкт-Петербург	1	17	Территориальная избирательная комиссия №1	УИК №17	1870	750	747	8	434	58.10%	305	40.83%
Город Санкт-Петербург	1	18	Территориальная избирательная комиссия №1	УИК №18	1430	781	778	15	552	70.95%	211	27.12%
Город Санкт-Петербург	1	19	Территориальная избирательная комиссия №1	УИК №19	1812	900	899	9	525	58.40%	365	40.60%
Город Санкт-Петербург	1	20	Территориальная избирательная комиссия №1	УИК №20	1610	546	545	5	296	54.31%	244	44.77%
Город Санкт-Петербург	1	21	Территориальная избирательная комиссия №1	УИК №21	1973	855	855	3	501	58.60%	351	41.05%
Город Санкт-Петербург	1	22	Территориальная избирательная комиссия №1	УИК №22	2091	1156	1156	3	800	69.20%	353	30.54%
Город Санкт-Петербург	1	23	Территориальная избирательная комиссия №1	УИК №23	1594	1479	1469	10	999	68.01%	460	31.31%
Город Санкт-Петербург	1	24	Территориальная избирательная комиссия №1	УИК №24	1769	1422	1417	68	966	68.17%	383	27.03%
Город Санкт-Петербург	1	25	Территориальная избирательная комиссия №1	УИК №25	1971	1539	1532	30	1230	80.29%	272	17.75%
Город Санкт-Петербург	1	26	Территориальная избирательная комиссия №1	УИК №26	1216	935	933	17	705	75.56%	211	22.62%
Город Санкт-Петербург	1	27	Территориальная избирательная комиссия №1	УИК №27	1441	1225	1225	11	833	68.00%	381	31.10%
Город Санкт-Петербург	1	28	Территориальная избирательная комиссия №1	УИК №28	1425	1118	1114	9	759	68.13%	346	31.06%
Город Санкт-Петербург	1	29	Территориальная избирательная комиссия №1	УИК №29	2187	1725	1717	33	1257	73.21%	427	24.87%
Город Санкт-Петербург	1	30	Территориальная избирательная комиссия №1	УИК №30	1492	1397	1390	12	1204	86.62%	174	12.52%
Город Санкт-Петербург	1	31	Территориальная избирательная комиссия №1	УИК №31	2000	1859	1799	150	1282	71.26%	367	20.40%
Город Санкт-Петербург	1	32	Территориальная избирательная комиссия №1	УИК №32	1821	1454	1445	23	1095	75.78%	327	22.63%
Город Санкт-Петербург	1	33	Территориальная избирательная комиссия №1	УИК №33	2824	2258	2245	29	1668	74.30%	548	24.41%
Город Санкт-Петербург	1	34	Территориальная избирательная комиссия №1	УИК №34	1906	1485	1460	18	1095	75.00%	347	23.77%
Город Санкт-Петербург	1	35	Территориальная избирательная комиссия №1	УИК №35	1390	1054	1029	15	766	74.44%	248	24.10%
Город Санкт-Петербург	1	36	Территориальная избирательная комиссия №1	УИК №36	1790	1620	1612	156	1101	68.30%	355	22.02%
Город Санкт-Петербург	1	37	Территориальная избирательная комиссия №1	УИК №37	1070	911	911	8	741	81.34%	162	17.78%
Город Санкт-Петербург	1	38	Территориальная избирательная комиссия №1	УИК №38	1716	1360	1360	11	974	71.62%	375	27.57%
Город Санкт-Петербург	1	39	Территориальная избирательная комиссия №1	УИК №39	1590	1317	1317	14	899	68.26%	404	30.68%
Город Санкт-Петербург	1	40	Территориальная избирательная комиссия №1	УИК №40	2027	1872	1868	11	1624	86.94%	233	12.47%
Город Санкт-Петербург	1	41	Территориальная избирательная комиссия №1	УИК №41	2327	1729	1723	128	1123	65.18%	472	27.39%
Город Санкт-Петербург	1	42	Территориальная избирательная комиссия №1	УИК №42	1861	1436	1428	16	1101	77.10%	311	21.78%
Город Санкт-Петербург	1	43	Территориальная избирательная комиссия №1	УИК №43	1862	1627	1627	35	1394	85.68%	198	12.17%
Город Санкт-Петербург	1	44	Территориальная избирательная комиссия №1	УИК №44	1284	1058	1058	7	755	71.36%	296	27.98%
Город Санкт-Петербург	1	45	Территориальная избирательная комиссия №1	УИК №45	1947	1761	1761	9	1239	70.36%	513	29.13%
Город Санкт-Петербург	1	46	Территориальная избирательная комиссия №1	УИК №46	1868	898	898	13	588	65.48%	297	33.07%
Город Санкт-Петербург	1	47	Территориальная избирательная комиссия №1	УИК №47	2501	1990	1990	210	1302	65.43%	478	24.02%
Город Санкт-Петербург	1	48	Территориальная избирательная комиссия №1	УИК №48	1307	1185	1185	21	1019	85.99%	145	12.24%
Город Санкт-Петербург	1	49	Территориальная избирательная комиссия №1	УИК №49	2322	1839	1839	14	1498	81.46%	327	17.78%
Город Санкт-Петербург	1	50	Территориальная избирательная комиссия №1	УИК №50	2270	1838	1828	7	1601	87.58%	220	12.04%
Город Санкт-Петербург	1	51	Территориальная избирательная комиссия №1	УИК №51	1655	1528	1528	4	1237	80.96%	287	18.78%
Город Санкт-Петербург	1	52	Территориальная избирательная комиссия №1	УИК №52	4077	3237	3237	17	2679	82.76%	541	16.71%
Город Санкт-Петербург	1	53	Территориальная избирательная комиссия №1	УИК №53	2241	1930	1927	20	1251	64.92%	656	34.04%
Город Санкт-Петербург	1	54	Территориальная избирательная комиссия №1	УИК №54	2611	1217	1217	14	766	62.94%	437	35.91%
Город Санкт-Петербург	1	55	Территориальная избирательная комиссия №1	УИК №55	1522	1431	1422	26	1086	76.37%	310	21.80%
Город Санкт-Петербург	1	56	Территориальная избирательная комиссия №1	УИК №56	2242	1761	1752	14	1238	70.66%	500	28.54%
Город Санкт-Петербург	1	57	Территориальная избирательная комиссия №1	УИК №57	2117	1891	1890	4	1389	73.49%	497	26.30%
Город Санкт-Петербург	1	58	Территориальная избирательная комиссия №1	УИК №58	390	389	389	2	374	96.14%	13	3.34%
Город Санкт-Петербург	1	59	Территориальная избирательная комиссия №1	УИК №59	2196	2143	2111	76	1458	69.07%	577	27.33%
Город Санкт-Петербург	1	60	Территориальная избирательная комиссия №1	УИК №60	2161	1809	1800	36	1314	73.00%	450	25.00%
Город Санкт-Петербург	1	61	Территориальная избирательная комиссия №1	УИК №61	1684	1316	1316	6	1094	83.13%	216	16.41%
Город Санкт-Петербург	2	104	Территориальная избирательная комиссия №2	УИК №104	1588	1269	1269	1	1029	81.09%	239	18.83%
Город Санкт-Петербург	2	105	Территориальная избирательная комиссия №2	УИК №105	1747	1376	1375	5	1100	80.00%	270	19.64%
Город Санкт-Петербург	2	106	Территориальная избирательная комиссия №2	УИК №106	1596	1313	1313	6	1056	80.43%	251	19.12%
Город Санкт-Петербург	2	107	Территориальная избирательная комиссия №2	УИК №107	1549	1234	1234	6	945	76.58%	283	22.93%
Город Санкт-Петербург	2	108	Территориальная избирательная комиссия №2	УИК №108	1673	712	712	12	426	59.83%	274	38.48%
Город Санкт-Петербург	2	109	Территориальная избирательная комиссия №2	УИК №109	1762	1384	1383	5	1021	73.83%	357	25.81%
Город Санкт-Петербург	2	110	Территориальная избирательная комиссия №2	УИК №110	1517	1273	1273	3	1117	87.75%	153	12.02%
Город Санкт-Петербург	2	111	Территориальная избирательная комиссия №2	УИК №111	1703	1285	1285	11	1064	82.80%	210	16.34%
Город Санкт-Петербург	2	112	Территориальная избирательная комиссия №2	УИК №112	1959	1485	1483	6	1241	83.68%	236	15.91%
Город Санкт-Петербург	2	113	Территориальная избирательная комиссия №2	УИК №113	1694	1373	1372	9	1186	86.44%	177	12.90%
Город Санкт-Петербург	2	114	Территориальная избирательная комиссия №2	УИК №114	1472	1087	1068	7	914	85.58%	147	13.76%
Город Санкт-Петербург	2	115	Территориальная избирательная комиссия №2	УИК №115	2434	1934	1923	10	1636	85.08%	277	14.40%
Город Санкт-Петербург	2	116	Территориальная избирательная комиссия №2	УИК №116	2477	2051	2051	7	1851	90.25%	193	9.41%
Город Санкт-Петербург	2	117	Территориальная избирательная комиссия №2	УИК №117	1933	1336	1325	1	1024	77.28%	300	22.64%
Город Санкт-Петербург	2	118	Территориальная избирательная комиссия №2	УИК №118	2377	2114	2114	13	1709	80.84%	392	18.54%
Город Санкт-Петербург	2	119	Территориальная избирательная комиссия №2	УИК №119	2156	1720	1720	5	1525	88.66%	190	11.05%
Город Санкт-Петербург	2	120	Территориальная избирательная комиссия №2	УИК №120	1821	1412	1411	4	1184	83.91%	223	15.80%
Город Санкт-Петербург	2	121	Территориальная избирательная комиссия №2	УИК №121	1751	1389	1388	18	1069	77.02%	301	21.69%
Город Санкт-Петербург	2	122	Территориальная избирательная комиссия №2	УИК №122	1585	1454	1454	1	1282	88.17%	171	11.76%
Город Санкт-Петербург	2	123	Территориальная избирательная комиссия №2	УИК №123	1651	1330	1330	3	1049	78.87%	278	20.90%
Город Санкт-Петербург	2	124	Территориальная избирательная комиссия №2	УИК №124	2053	1934	1924	1	1759	91.42%	164	8.52%
Город Санкт-Петербург	2	125	Территориальная избирательная комиссия №2	УИК №125	1695	1380	1377	8	1153	83.73%	216	15.69%
Город Санкт-Петербург	2	126	Территориальная избирательная комиссия №2	УИК №126	1564	1207	1200	3	1043	86.92%	154	12.83%
Город Санкт-Петербург	2	127	Территориальная избирательная комиссия №2	УИК №127	1781	1372	1370	7	1088	79.42%	275	20.07%
Город Санкт-Петербург	2	128	Территориальная избирательная комиссия №2	УИК №128	2326	1136	1136	6	660	58.10%	470	41.37%
Город Санкт-Петербург	2	129	Территориальная избирательная комиссия №2	УИК №129	1828	1435	1435	5	1266	88.22%	164	11.43%
Город Санкт-Петербург	2	130	Территориальная избирательная комиссия №2	УИК №130	1948	1888	1624	1	1436	88.42%	187	11.51%
Город Санкт-Петербург	2	131	Территориальная избирательная комиссия №2	УИК №131	1351	1120	1119	8	920	82.22%	191	17.07%
Город Санкт-Петербург	2	132	Территориальная избирательная комиссия №2	УИК №132	2361	1994	1993	6	1733	86.95%	254	12.74%
Город Санкт-Петербург	2	133	Территориальная избирательная комиссия №2	УИК №133	2084	1708	1707	3	1518	88.93%	186	10.90%
Город Санкт-Петербург	2	134	Территориальная избирательная комиссия №2	УИК №134	1458	1287	1287	0	1056	82.05%	231	17.95%
Город Санкт-Петербург	2	135	Территориальная избирательная комиссия №2	УИК №135	2128	1769	1769	3	1444	81.63%	322	18.20%
Город Санкт-Петербург	2	136	Территориальная избирательная комиссия №2	УИК №136	1869	1490	1490	3	1365	91.61%	122	8.19%
Город Санкт-Петербург	2	137	Территориальная избирательная комиссия №2	УИК №137	1565	1297	1297	5	1158	89.28%	134	10.33%
Город Санкт-Петербург	2	138	Территориальная избирательная комиссия №2	УИК №138	1748	585	585	1	290	49.57%	294	50.26%
Город Санкт-Петербург	2	139	Территориальная избирательная комиссия №2	УИК №139	1763	1493	1493	10	1185	79.37%	298	19.96%
Город Санкт-Петербург	2	140	Территориальная избирательная комиссия №2	УИК №140	1599	1220	1220	1	1062	87.05%	157	12.87%
Город Санкт-Петербург	2	141	Территориальная избирательная комиссия №2	УИК №141	1925	1455	1453	3	1217	83.76%	233	16.04%
Город Санкт-Петербург	2	142	Территориальная избирательная комиссия №2	УИК №142	1752	1419	1396	7	1106	79.23%	283	20.27%
Город Санкт-Петербург	2	143	Территориальная избирательная комиссия №2	УИК №143	1241	393	392	9	223	56.89%	160	40.82%
Город Санкт-Петербург	2	144	Территориальная избирательная комиссия №2	УИК №144	1590	1330	1330	6	1151	86.54%	173	13.01%
Город Санкт-Петербург	2	145	Территориальная избирательная комиссия №2	УИК №145	2681	2227	2217	3	1811	81.69%	403	18.18%
Город Санкт-Петербург	2	146	Территориальная избирательная комиссия №2	УИК №146	2305	1861	1860	6	1259	67.69%	595	31.99%
Город Санкт-Петербург	2	147	Территориальная избирательная комиссия №2	УИК №147	1895	1530	1530	11	1276	83.40%	243	15.88%
Город Санкт-Петербург	2	148	Территориальная избирательная комиссия №2	УИК №148	2563	2020	2018	2	1489	73.79%	527	26.11%
Город Санкт-Петербург	2	149	Территориальная избирательная комиссия №2	УИК №149	1816	1419	1419	9	1101	77.59%	309	21.78%
Город Санкт-Петербург	2	150	Территориальная избирательная комиссия №2	УИК №150	1710	1449	1447	2	1291	89.22%	154	10.64%
Город Санкт-Петербург	2	151	Территориальная избирательная комиссия №2	УИК №151	1972	1922	1819	9	1638	90.05%	172	9.46%
Город Санкт-Петербург	2	152	Территориальная избирательная комиссия №2	УИК №152	1917	1393	1390	3	1202	86.47%	185	13.31%
Город Санкт-Петербург	2	153	Территориальная избирательная комиссия №2	УИК №153	2070	1635	1635	11	1336	81.71%	288	17.61%
Город Санкт-Петербург	2	154	Территориальная избирательная комиссия №2	УИК №154	1690	1500	1240	10	1033	83.31%	197	15.89%
Город Санкт-Петербург	2	155	Территориальная избирательная комиссия №2	УИК №155	1257	953	953	1	638	66.95%	314	32.95%
Город Санкт-Петербург	2	156	Территориальная избирательная комиссия №2	УИК №156	2309	2200	2008	8	1757	87.50%	243	12.10%
Город Санкт-Петербург	2	157	Территориальная избирательная комиссия №2	УИК №157	1605	608	608	4	291	47.86%	313	51.48%
Город Санкт-Петербург	2	158	Территориальная избирательная комиссия №2	УИК №158	799	728	728	2	501	68.82%	225	30.91%
Город Санкт-Петербург	2	159	Территориальная избирательная комиссия №2	УИК №159	1656	1378	1373	5	1151	83.83%	217	15.80%
Город Санкт-Петербург	2	160	Территориальная избирательная комиссия №2	УИК №160	1702	1351	1351	3	1164	86.16%	184	13.62%
Город Санкт-Петербург	2	161	Территориальная избирательная комиссия №2	УИК №161	1708	1489	1489	8	1293	86.84%	188	12.63%
Город Санкт-Петербург	2	162	Территориальная избирательная комиссия №2	УИК №162	1627	1379	1377	3	1179	85.62%	195	14.16%
Город Санкт-Петербург	2	163	Территориальная избирательная комиссия №2	УИК №163	1153	392	392	5	222	56.63%	165	42.09%
Город Санкт-Петербург	2	164	Территориальная избирательная комиссия №2	УИК №164	1835	1375	1375	11	1103	80.22%	261	18.98%
Город Санкт-Петербург	2	165	Территориальная избирательная комиссия №2	УИК №165	1774	1159	1159	4	1004	86.63%	151	13.03%
Город Санкт-Петербург	2	166	Территориальная избирательная комиссия №2	УИК №166	1859	1417	1416	8	1191	84.11%	217	15.32%
Город Санкт-Петербург	2	167	Территориальная избирательная комиссия №2	УИК №167	2340	1878	1790	11	1365	76.26%	414	23.13%
Город Санкт-Петербург	2	168	Территориальная избирательная комиссия №2	УИК №168	2768	2293	2277	7	1860	81.69%	410	18.01%
Город Санкт-Петербург	2	169	Территориальная избирательная комиссия №2	УИК №169	1470	1357	1322	9	1139	86.16%	174	13.16%
Город Санкт-Петербург	2	170	Территориальная избирательная комиссия №2	УИК №170	2261	1902	1901	3	1677	88.22%	221	11.63%
Город Санкт-Петербург	2	171	Территориальная избирательная комиссия №2	УИК №171	1715	1441	1441	1	1286	89.24%	154	10.69%
Город Санкт-Петербург	2	172	Территориальная избирательная комиссия №2	УИК №172	2073	1672	1670	4	1459	87.37%	207	12.40%
Город Санкт-Петербург	2	173	Территориальная избирательная комиссия №2	УИК №173	1975	744	744	4	429	57.66%	311	41.80%
Город Санкт-Петербург	2	174	Территориальная избирательная комиссия №2	УИК №174	2081	1901	1901	4	1628	85.64%	269	14.15%
Город Санкт-Петербург	2	175	Территориальная избирательная комиссия №2	УИК №175	2059	1494	1494	6	1311	87.75%	177	11.85%
Город Санкт-Петербург	2	176	Территориальная избирательная комиссия №2	УИК №176	2183	1801	1801	9	1483	82.34%	309	17.16%
Город Санкт-Петербург	2	177	Территориальная избирательная комиссия №2	УИК №177	2076	1561	1560	4	1417	90.83%	139	8.91%
Город Санкт-Петербург	2	178	Территориальная избирательная комиссия №2	УИК №178	2230	2066	2066	7	1712	82.87%	347	16.80%
Город Санкт-Петербург	2	179	Территориальная избирательная комиссия №2	УИК №179	2277	1963	1885	10	1581	83.87%	294	15.60%
Город Санкт-Петербург	2	180	Территориальная избирательная комиссия №2	УИК №180	1468	968	963	1	602	62.51%	360	37.38%
Город Санкт-Петербург	2	181	Территориальная избирательная комиссия №2	УИК №181	1565	1428	1427	1	1128	79.05%	298	20.88%
Город Санкт-Петербург	2	182	Территориальная избирательная комиссия №2	УИК №182	2128	1807	1807	1	1310	72.50%	496	27.45%
Город Санкт-Петербург	2	183	Территориальная избирательная комиссия №2	УИК №183	2612	2177	2177	5	1790	82.22%	382	17.55%
Город Санкт-Петербург	2	185	Территориальная избирательная комиссия №2	УИК №185	692	692	692	7	515	74.42%	170	24.57%
Город Санкт-Петербург	2	186	Территориальная избирательная комиссия №2	УИК №186	695	684	684	0	583	85.23%	101	14.77%
Город Санкт-Петербург	2	187	Территориальная избирательная комиссия №2	УИК №187	36	36	36	0	15	41.67%	21	58.33%
Город Санкт-Петербург	2	188	Территориальная избирательная комиссия №2	УИК №188	36	36	35	0	12	34.29%	23	65.71%
Город Санкт-Петербург	2	189	Территориальная избирательная комиссия №2	УИК №189	23	23	23	0	11	47.83%	12	52.17%
Город Санкт-Петербург	2	190	Территориальная избирательная комиссия №2	УИК №190	12	11	11	0	4	36.36%	7	63.64%
Город Санкт-Петербург	2	191	Территориальная избирательная комиссия №2	УИК №191	30	30	30	0	16	53.33%	14	46.67%
Город Санкт-Петербург	2	192	Территориальная избирательная комиссия №2	УИК №192	26	25	25	1	13	52.00%	11	44.00%
Город Санкт-Петербург	2	193	Территориальная избирательная комиссия №2	УИК №193	19	19	19	0	12	63.16%	7	36.84%
Город Санкт-Петербург	2	194	Территориальная избирательная комиссия №2	УИК №194	20	20	20	0	7	35.00%	13	65.00%
Город Санкт-Петербург	2	195	Территориальная избирательная комиссия №2	УИК №195	3	3	3	0	2	66.67%	1	33.33%
Город Санкт-Петербург	2	196	Территориальная избирательная комиссия №2	УИК №196	95	95	95	0	69	72.63%	26	27.37%
Город Санкт-Петербург	2	197	Территориальная избирательная комиссия №2	УИК №197	254	254	253	0	195	77.08%	58	22.92%
Город Санкт-Петербург	2	198	Территориальная избирательная комиссия №2	УИК №198	353	344	344	4	126	36.63%	214	62.21%
Город Санкт-Петербург	3	576	Территориальная избирательная комиссия №3	УИК №576	2050	863	863	5	656	76.01%	202	23.41%
Город Санкт-Петербург	3	577	Территориальная избирательная комиссия №3	УИК №577	2763	2234	2234	16	1724	77.17%	494	22.11%
Город Санкт-Петербург	3	578	Территориальная избирательная комиссия №3	УИК №578	1816	1130	1130	5	908	80.35%	217	19.20%
Город Санкт-Петербург	3	579	Территориальная избирательная комиссия №3	УИК №579	2492	1337	1336	20	854	63.92%	462	34.58%
Город Санкт-Петербург	3	580	Территориальная избирательная комиссия №3	УИК №580	1973	588	588	4	372	63.27%	212	36.05%
Город Санкт-Петербург	3	581	Территориальная избирательная комиссия №3	УИК №581	1839	624	623	5	363	58.27%	255	40.93%
Город Санкт-Петербург	3	582	Территориальная избирательная комиссия №3	УИК №582	1901	1375	1371	8	1122	81.84%	241	17.58%
Город Санкт-Петербург	3	583	Территориальная избирательная комиссия №3	УИК №583	2001	812	810	3	541	66.79%	266	32.84%
Город Санкт-Петербург	3	584	Территориальная избирательная комиссия №3	УИК №584	1954	1036	1036	7	276	26.64%	753	72.68%
Город Санкт-Петербург	3	585	Территориальная избирательная комиссия №3	УИК №585	1632	1271	1221	10	970	79.44%	241	19.74%
Город Санкт-Петербург	3	586	Территориальная избирательная комиссия №3	УИК №586	1474	1031	1028	7	768	74.71%	253	24.61%
Город Санкт-Петербург	3	587	Территориальная избирательная комиссия №3	УИК №587	2042	1657	1657	10	1320	79.66%	327	19.73%
Город Санкт-Петербург	3	588	Территориальная избирательная комиссия №3	УИК №588	1873	1320	1319	6	1057	80.14%	256	19.41%
Город Санкт-Петербург	3	589	Территориальная избирательная комиссия №3	УИК №589	1661	1323	1321	8	1163	88.04%	150	11.36%
Город Санкт-Петербург	3	590	Территориальная избирательная комиссия №3	УИК №590	1086	828	822	2	641	77.98%	179	21.78%
Город Санкт-Петербург	3	591	Территориальная избирательная комиссия №3	УИК №591	2015	1693	1687	5	1351	80.08%	331	19.62%
Город Санкт-Петербург	3	592	Территориальная избирательная комиссия №3	УИК №592	1501	637	637	3	328	51.49%	306	48.04%
Город Санкт-Петербург	3	593	Территориальная избирательная комиссия №3	УИК №593	2371	865	857	5	498	58.11%	354	41.31%
Город Санкт-Петербург	3	594	Территориальная избирательная комиссия №3	УИК №594	1478	856	856	5	638	74.53%	213	24.88%
Город Санкт-Петербург	3	595	Территориальная избирательная комиссия №3	УИК №595	1466	629	628	8	377	60.03%	243	38.69%
Город Санкт-Петербург	3	596	Территориальная избирательная комиссия №3	УИК №596	1653	676	676	4	401	59.32%	271	40.09%
Город Санкт-Петербург	3	597	Территориальная избирательная комиссия №3	УИК №597	2069	1062	1062	4	786	74.01%	272	25.61%
Город Санкт-Петербург	3	598	Территориальная избирательная комиссия №3	УИК №598	2967	1478	1476	8	1075	72.83%	393	26.63%
Город Санкт-Петербург	3	599	Территориальная избирательная комиссия №3	УИК №599	1277	927	921	17	608	66.02%	296	32.14%
Город Санкт-Петербург	3	600	Территориальная избирательная комиссия №3	УИК №600	1523	831	829	10	482	58.14%	337	40.65%
Город Санкт-Петербург	3	601	Территориальная избирательная комиссия №3	УИК №601	1410	1172	1170	4	980	83.76%	186	15.90%
Город Санкт-Петербург	3	602	Территориальная избирательная комиссия №3	УИК №602	1343	748	748	2	541	72.33%	205	27.41%
Город Санкт-Петербург	3	603	Территориальная избирательная комиссия №3	УИК №603	2713	1188	1181	7	814	68.92%	360	30.48%
Город Санкт-Петербург	3	604	Территориальная избирательная комиссия №3	УИК №604	2576	1442	1442	13	1098	76.14%	331	22.95%
Город Санкт-Петербург	3	605	Территориальная избирательная комиссия №3	УИК №605	1374	1009	1009	8	647	64.12%	354	35.08%
Город Санкт-Петербург	3	606	Территориальная избирательная комиссия №3	УИК №606	1535	1156	1132	21	783	69.17%	328	28.98%
Город Санкт-Петербург	3	607	Территориальная избирательная комиссия №3	УИК №607	1468	648	646	5	427	66.10%	214	33.13%
Город Санкт-Петербург	3	608	Территориальная избирательная комиссия №3	УИК №608	2154	1582	1582	4	1312	82.93%	266	16.81%
Город Санкт-Петербург	3	609	Территориальная избирательная комиссия №3	УИК №609	1517	988	988	8	761	77.02%	219	22.17%
Город Санкт-Петербург	3	610	Территориальная избирательная комиссия №3	УИК №610	1477	975	972	3	731	75.21%	238	24.49%
Город Санкт-Петербург	3	611	Территориальная избирательная комиссия №3	УИК №611	1896	1511	1510	9	1205	79.80%	296	19.60%
Город Санкт-Петербург	3	612	Территориальная избирательная комиссия №3	УИК №612	1727	1328	1328	0	1225	92.24%	103	7.76%
Город Санкт-Петербург	3	613	Территориальная избирательная комиссия №3	УИК №613	1523	1156	1156	7	882	76.30%	267	23.10%
Город Санкт-Петербург	3	614	Территориальная избирательная комиссия №3	УИК №614	1714	1482	1482	0	1145	77.26%	337	22.74%
Город Санкт-Петербург	3	615	Территориальная избирательная комиссия №3	УИК №615	1510	1221	1221	0	985	80.67%	236	19.33%
Город Санкт-Петербург	3	616	Территориальная избирательная комиссия №3	УИК №616	2593	1495	1471	18	943	64.11%	510	34.67%
Город Санкт-Петербург	3	617	Территориальная избирательная комиссия №3	УИК №617	2281	1555	1545	11	1143	73.98%	391	25.31%
Город Санкт-Петербург	3	618	Территориальная избирательная комиссия №3	УИК №618	2020	1380	1375	17	1004	73.02%	354	25.75%
Город Санкт-Петербург	3	619	Территориальная избирательная комиссия №3	УИК №619	2668	2386	2386	1	1789	74.98%	596	24.98%
Город Санкт-Петербург	3	620	Территориальная избирательная комиссия №3	УИК №620	2419	2067	2067	3	1530	74.02%	534	25.83%
Город Санкт-Петербург	3	621	Территориальная избирательная комиссия №3	УИК №621	1762	1435	1435	6	1235	86.06%	194	13.52%
Город Санкт-Петербург	3	622	Территориальная избирательная комиссия №3	УИК №622	1861	1585	1582	3	1427	90.20%	152	9.61%
Город Санкт-Петербург	3	623	Территориальная избирательная комиссия №3	УИК №623	1830	1576	1574	3	1401	89.01%	170	10.80%
Город Санкт-Петербург	3	624	Территориальная избирательная комиссия №3	УИК №624	1749	1297	1297	7	1033	79.65%	257	19.81%
Город Санкт-Петербург	3	625	Территориальная избирательная комиссия №3	УИК №625	1802	1450	1450	7	1181	81.45%	262	18.07%
Город Санкт-Петербург	3	626	Территориальная избирательная комиссия №3	УИК №626	1573	1226	1226	6	1024	83.52%	196	15.99%
Город Санкт-Петербург	3	627	Территориальная избирательная комиссия №3	УИК №627	1597	1233	1232	1	1015	82.39%	216	17.53%
Город Санкт-Петербург	3	628	Территориальная избирательная комиссия №3	УИК №628	2106	1697	1697	0	1273	75.01%	424	24.99%
Город Санкт-Петербург	3	629	Территориальная избирательная комиссия №3	УИК №629	1946	1510	1510	3	1133	75.03%	374	24.77%
Город Санкт-Петербург	3	630	Территориальная избирательная комиссия №3	УИК №630	1766	1485	1483	5	1108	74.71%	370	24.95%
Город Санкт-Петербург	3	631	Территориальная избирательная комиссия №3	УИК №631	2061	1630	1630	7	1311	80.43%	312	19.14%
Город Санкт-Петербург	3	632	Территориальная избирательная комиссия №3	УИК №632	2349	1955	1955	4	1812	92.69%	139	7.11%
Город Санкт-Петербург	3	645	Территориальная избирательная комиссия №3	УИК №645	499	352	352	1	215	61.08%	136	38.64%
Город Санкт-Петербург	3	646	Территориальная избирательная комиссия №3	УИК №646	19	19	19	0	8	42.11%	11	57.89%
Город Санкт-Петербург	3	647	Территориальная избирательная комиссия №3	УИК №647	19	19	19	0	15	78.95%	4	21.05%
Город Санкт-Петербург	3	648	Территориальная избирательная комиссия №3	УИК №648	20	20	20	0	9	45.00%	11	55.00%
Город Санкт-Петербург	3	649	Территориальная избирательная комиссия №3	УИК №649	50	50	50	0	19	38.00%	31	62.00%
Город Санкт-Петербург	3	650	Территориальная избирательная комиссия №3	УИК №650	19	19	19	0	5	26.32%	14	73.68%
Город Санкт-Петербург	3	651	Территориальная избирательная комиссия №3	УИК №651	18	18	18	0	10	55.56%	8	44.44%
